,ret
2012-06-21,-0.024987153627147415
2012-06-22,0.012761915631654394
2012-06-25,-0.002520206875901061
2012-06-26,0.006062808195392982
2012-06-27,0.00044345872225434507
2012-06-28,0.0030884990300639116
2012-06-29,0.014381735191371902
2012-07-02,0.005696999356085003
2012-07-03,0.001857202594636062
2012-07-05,-0.0037247474656887125
2012-07-06,0.0017085210156015202
2012-07-09,-0.00017183321706793124
2012-07-10,-0.006884018143009607
2012-07-11,0.007425878461214844
2012-07-12,-0.0014705824671901709
2012-07-13,0.010716421197366183
2012-07-16,0.00015748951782917228
2012-07-17,0.006627943203749656
2012-07-18,-0.0008902388385992769
2012-07-19,0.003967377104256081
2012-07-20,-0.008254410768811862
2012-07-23,-0.014282710885220035
2012-07-24,-0.009170090537853436
2012-07-25,0.00670952803848058
2012-07-26,0.0165756025866009
2012-07-27,0.004152978844685225
2012-07-30,-0.00703008866826925
2012-07-31,-0.0034584094708567303
2012-08-01,0.002040561436329944
2012-08-02,0.007396745971787423
2012-08-03,0.011894329558124086
2012-08-06,0.0016020376862401326
2012-08-07,-0.003303619187207115
2012-08-08,0.0068792469458127115
2012-08-09,0.0009443438218206054
2012-08-10,0.0011613278193807843
2012-08-13,0.0032251403235441277
2012-08-14,-0.005956208566139999
2012-08-15,0.0004039312595437867
2012-08-16,0.0021737937919403746
2012-08-17,0.004891467472857733
2012-08-20,8.192883419663743e-05
2012-08-21,-0.003900737228768537
2012-08-22,-0.002016226680344392
2012-08-23,-0.002412327368737495
2012-08-24,0.005860162494971746
2012-08-27,-0.0018513489799945322
2012-08-28,-0.00151091002617855
2012-08-29,-0.001956216749558065
2012-08-30,-0.003197748757468006
2012-08-31,0.005914384874565991
2012-09-04,0.0031379058009579587
2012-09-05,0.004008948572732991
2012-09-06,0.016742164289250742
2012-09-07,0.008461666383259011
2012-09-10,-0.009727300953527362
2012-09-11,0.0007476394727611827
2012-09-12,0.006361042767172014
2012-09-13,0.008899583668909835
2012-09-14,-0.0072000963787534405
2012-09-17,0.004376928041888235
2012-09-18,0.004902983379500922
2012-09-19,0.0016174099308828287
2012-09-20,-0.002756402074074264
2012-09-21,0.002671609305161805
2012-09-24,0.0012856944189181341
2012-09-25,-0.009095835220992339
2012-09-26,-0.004634505177545543
2012-09-27,0.014212196812196798
2012-09-28,-0.002742959333573167
2012-10-01,-0.00406008822684147
2012-10-02,0.0031939714608225636
2012-10-03,0.0015176999645075938
2012-10-04,0.004507709996382738
2012-10-05,0.0009378513975557852
2012-10-08,-0.00133250294126991
2012-10-09,-0.006221109286073042
2012-10-10,-0.0007545466655347518
2012-10-11,0.005198662238815802
2012-10-12,-0.003945886217556921
2012-10-15,0.007586036921611577
2012-10-16,0.0032934020297921292
2012-10-17,0.002254783575330646
2012-10-18,-0.0021434735979476483
2012-10-19,-0.007696368001822256
2012-10-22,0.0022676054567881375
2012-10-23,-0.015355365863216036
2012-10-24,0.004149920886075939
2012-10-25,0.0038541343308990624
2012-10-26,0.0003581125085422699
2012-10-31,-0.006475897504213134
2012-11-01,0.018409674020905008
2012-11-02,-0.00782535118333854
2012-11-05,-0.0028738878617606744
2012-11-06,0.008922084622785391
2012-11-07,-0.015085090275959497
2012-11-08,0.0025489353058075767
2012-11-09,-0.0021217648523097136
2012-11-12,0.01279124283831739
2012-11-13,0.001412704389537976
2012-11-14,-0.007745512628434572
2012-11-15,-0.0015160570778705177
2012-11-16,0.009516970971772206
2012-11-19,0.014636648799240122
2012-11-20,0.0008844104457926789
2012-11-21,-0.0003166105878178599
2012-11-23,0.003257446808510619
2012-11-26,0.007717485032056122
2012-11-27,0.002530948267779544
2012-11-28,0.00919392097264437
2012-11-29,0.010843002982477614
2012-11-30,0.007411958748882416
2012-12-03,0.0004823708206686998
2012-12-04,-0.0004806727854355164
2012-12-05,0.0033765595988973184
2012-12-06,0.00047051383987809224
2012-12-07,0.0042197679004373516
2012-12-10,0.004087086961814465
2012-12-11,0.007918201922778204
2012-12-12,0.002847406386723985
2012-12-13,-0.0014544072948328474
2012-12-14,-0.003919485508128599
2012-12-17,0.002519118741038824
2012-12-18,0.008908561617563707
2012-12-19,-0.0022258146885939106
2012-12-20,-0.0022633263256879328
2012-12-21,-0.002301556673854472
