Date,Adj Close,Close,High,Low,Open,Volume
2018-07-06,1349.662109375,1446.5,1450.5,1409.0,1425.0,591400
2018-07-09,1374.854736328125,1473.5,1484.0,1441.5,1450.0,449200
2018-07-10,1393.5155029296875,1493.5,1527.5,1481.5,1500.0,674600
2018-07-11,1396.7811279296875,1497.0,1512.5,1452.5,1475.0,498800
2018-07-12,1395.8482666015625,1496.0,1510.0,1462.0,1481.5,450400
2018-07-13,1450.8984375,1555.0,1565.0,1517.5,1517.5,469400
2018-07-16,1450.8984375,1555.0,1555.0,1555.0,1555.0,0
2018-07-17,1436.902587890625,1540.0,1590.0,1535.0,1575.0,391000
2018-07-18,1450.8984375,1555.0,1600.0,1542.5,1577.5,488000
2018-07-19,1548.8690185546875,1660.0,1695.0,1615.0,1620.0,1025800
2018-07-20,1511.5465087890625,1620.0,1652.5,1607.5,1650.0,613800
2018-07-23,1476.5572509765625,1582.5,1620.0,1575.0,1612.5,312400
2018-07-24,1504.548828125,1612.5,1630.0,1575.0,1595.0,371600
2018-07-25,1490.5533447265625,1597.5,1612.5,1577.5,1602.5,437400
2018-07-26,1534.8734130859375,1645.0,1670.0,1627.5,1640.0,430400
2018-07-27,1562.86474609375,1675.0,1677.5,1647.5,1655.0,335200
2018-07-30,1537.2056884765625,1647.5,1675.0,1640.0,1670.0,330400
2018-07-31,1539.538330078125,1650.0,1667.5,1612.5,1630.0,390600
2018-08-01,1565.1973876953125,1677.5,1695.0,1660.0,1670.0,327600
2018-08-02,1576.860595703125,1690.0,1722.5,1677.5,1705.0,387800
2018-08-03,1553.534423828125,1665.0,1692.5,1630.0,1692.5,416600
2018-08-06,1506.8817138671875,1615.0,1645.0,1607.5,1635.0,479400
2018-08-07,1483.555419921875,1590.0,1615.0,1570.0,1592.5,456000
2018-08-08,1530.2080078125,1640.0,1672.5,1580.0,1587.5,806200
2018-08-09,1772.8017578125,1900.0,1915.0,1750.0,1815.0,2224600
2018-08-10,1700.490234375,1822.5,1895.0,1807.5,1895.0,1170600
2018-08-13,1600.18701171875,1715.0,1800.0,1712.5,1787.5,787800
2018-08-14,1642.1744384765625,1760.0,1810.0,1715.0,1750.0,1413400
2018-08-15,1667.83349609375,1787.5,1817.5,1735.0,1767.5,1405200
2018-08-16,1637.5093994140625,1755.0,1787.5,1720.0,1735.0,882000
2018-08-17,1644.5069580078125,1762.5,1772.5,1752.5,1760.0,600000
2018-08-20,1590.8563232421875,1705.0,1760.0,1705.0,1750.0,583200
2018-08-21,1728.481689453125,1852.5,1857.5,1722.5,1775.0,2483400
2018-08-22,1800.793701171875,1930.0,1942.5,1847.5,1872.5,1274800
2018-08-23,1854.4442138671875,1987.5,2000.0,1917.5,1945.0,1186200
2018-08-24,1877.7703857421875,2012.5,2017.5,1955.0,1992.5,711000
2018-08-27,1889.4334716796875,2025.0,2027.5,2002.5,2020.0,572400
2018-08-28,1849.7786865234375,1982.5,2037.5,1967.5,2025.0,686000
2018-08-29,1868.43994140625,2002.5,2010.0,1985.0,2000.0,482200
2018-08-30,1917.4251708984375,2055.0,2057.5,2005.0,2025.0,990000
2018-08-31,1929.088134765625,2067.5,2075.0,2032.5,2035.0,562200
2018-09-03,1901.096435546875,2037.5,2072.5,2020.0,2070.0,372400
2018-09-04,1938.4188232421875,2077.5,2097.5,2062.5,2072.5,510200
2018-09-05,1931.4210205078125,2070.0,2120.0,2065.0,2092.5,784200
2018-09-06,1905.76220703125,2042.5,2055.0,1982.5,2045.0,672600
2018-09-07,1805.4586181640625,1935.0,1980.0,1912.5,1975.0,990800
2018-09-10,1796.1279296875,1925.0,1960.0,1920.0,1935.0,547600
2018-09-11,1852.1114501953125,1985.0,1995.0,1902.5,1922.5,937400
2018-09-12,1831.1177978515625,1962.5,2007.5,1945.0,2002.5,766200
2018-09-13,1828.7847900390625,1960.0,1977.5,1930.0,1942.5,615000
2018-09-14,1812.45654296875,1942.5,2050.0,1930.0,2000.0,1320600
2018-09-17,1812.45654296875,1942.5,1942.5,1942.5,1942.5,0
2018-09-18,1775.134521484375,1902.5,1917.5,1867.5,1897.5,747200
2018-09-19,1772.8017578125,1900.0,1925.0,1885.0,1905.0,817000
2018-09-20,1772.8017578125,1900.0,1932.5,1882.5,1930.0,436800
2018-09-21,1737.8123779296875,1862.5,1922.5,1850.0,1922.5,657800
2018-09-24,1737.8123779296875,1862.5,1862.5,1862.5,1862.5,0
2018-09-25,1789.130126953125,1917.5,1937.5,1870.0,1885.0,992000
2018-09-26,1754.1407470703125,1880.0,1907.5,1870.0,1882.5,720600
2018-09-27,1681.8292236328125,1802.5,1880.0,1802.5,1880.0,716800
2018-09-28,1765.80419921875,1892.5,1895.0,1847.5,1855.0,718800
2018-10-01,1782.132568359375,1910.0,1947.5,1892.5,1907.5,516000
2018-10-02,1747.1429443359375,1872.5,1915.0,1860.0,1912.5,561800
2018-10-03,1737.8123779296875,1862.5,1892.5,1845.0,1867.5,516800
2018-10-04,1707.4881591796875,1830.0,1910.0,1815.0,1895.0,616000
2018-10-05,1614.182861328125,1730.0,1807.5,1720.0,1802.5,729800
2018-10-08,1614.182861328125,1730.0,1730.0,1730.0,1730.0,0
2018-10-09,1485.8880615234375,1592.5,1680.0,1582.5,1680.0,1135800
2018-10-10,1539.538330078125,1650.0,1657.5,1592.5,1640.0,793600
2018-10-11,1478.889892578125,1585.0,1617.5,1532.5,1560.0,1028000
2018-10-12,1527.8751220703125,1637.5,1645.0,1552.5,1552.5,724000
2018-10-15,1520.8775634765625,1630.0,1657.5,1612.5,1630.0,704000
2018-10-16,1511.5465087890625,1620.0,1652.5,1585.0,1632.5,736800
2018-10-17,1602.51953125,1717.5,1722.5,1652.5,1685.0,1174400
2018-10-18,1562.86474609375,1675.0,1715.0,1672.5,1715.0,493600
2018-10-19,1504.548828125,1612.5,1617.5,1580.0,1592.5,613200
2018-10-22,1511.5465087890625,1620.0,1635.0,1557.5,1575.0,824600
2018-10-23,1457.896240234375,1562.5,1610.0,1562.5,1585.0,573400
2018-10-24,1413.576416015625,1515.0,1570.0,1512.5,1565.0,699600
2018-10-25,1306.74169921875,1400.5,1448.5,1397.0,1436.0,1367000
2018-10-26,1261.4886474609375,1352.0,1419.5,1336.5,1416.0,864600
2018-10-29,1221.3671875,1309.0,1370.0,1301.5,1350.0,772000
2018-10-30,1455.5638427734375,1560.0,1560.0,1400.5,1484.0,1975800
2018-10-31,1511.5465087890625,1620.0,1647.5,1525.0,1625.0,1295200
2018-11-01,1530.2080078125,1640.0,1657.5,1585.0,1592.5,816800
2018-11-02,1614.182861328125,1730.0,1745.0,1652.5,1655.0,1234200
2018-11-05,1593.1890869140625,1707.5,1725.0,1670.0,1695.0,690400
2018-11-06,1614.182861328125,1730.0,1732.5,1677.5,1695.0,457400
2018-11-07,1625.8458251953125,1742.5,1790.0,1715.0,1730.0,631600
2018-11-08,1707.4881591796875,1830.0,1852.5,1800.0,1800.0,936600
2018-11-09,1576.860595703125,1690.0,1802.5,1680.0,1800.0,1167400
2018-11-12,1588.52392578125,1702.5,1722.5,1652.5,1660.0,447000
2018-11-13,1544.2039794921875,1655.0,1665.0,1592.5,1620.0,631800
2018-11-14,1499.8839111328125,1607.5,1682.5,1600.0,1670.0,495800
2018-11-15,1539.538330078125,1650.0,1685.0,1600.0,1602.5,432400
2018-11-16,1427.572021484375,1530.0,1655.0,1522.5,1650.0,662800
2018-11-19,1548.8690185546875,1660.0,1682.5,1517.5,1540.0,1248000
2018-11-20,1516.2120361328125,1625.0,1667.5,1585.0,1625.0,729000
2018-11-21,1572.1954345703125,1685.0,1702.5,1590.0,1595.0,695200
2018-11-22,1581.52587890625,1695.0,1717.5,1650.0,1692.5,536800
2018-11-23,1581.52587890625,1695.0,1695.0,1695.0,1695.0,0
